,2.35,4.17,6.52,8.04,10.39,12.21,14.56,16.24,18.59,20.41,22.76
0,,,,,,,,,,,
1,16,58,166,277,462,592,713,775,823,844,861
2,16,57,166,277,463,593,712,774,823,846,861
3,16,56,166,276,463,591,712,774,823,843,861
4,16,57,166,276,462,591,712,775,821,843,860
5,16,57,166,277,463,591,713,774,821,843,860
6,16,58,165,276,464,593,712,774,822,843,861
7,15,56,165,277,462,592,713,774,821,843,862
8,15,57,166,276,463,591,713,775,821,844,862
9,16,56,165,276,463,592,712,773,821,844,860
10,17,57,166,276,462,593,713,773,822,845,859
11,16,57,166,277,462,592,712,774,823,844,859
12,16,56,165,276,461,592,714,775,821,843,860
13,19,56,166,276,462,593,711,774,822,845,862
14,19,55,165,276,461,592,713,775,821,843,862
15,19,54,166,277,462,591,713,774,821,843,861
16,18,57,166,279,462,591,712,772,82,843,861
17,19,56,166,276,462,592,713,775,821,843,860
18,20,59,165,277,462,592,712,775,822,844,861
19,19,56,165,277,462,592,714,774,821,843,860
20,19,55,165,277,461,592,713,775,823,843,860
21,19,55,165,277,462,592,713,774,821,843,861
22,20,55,166,277,461,592,713,775,823,842,861
23,20,55,165,282,461,592,714,768,822,842,860
24,19,55,165,277,462,592,712,775,822,841,860
25,19,55,166,277,462,592,712,772,822,843,861
26,20,56,166,277,462,592,712,774,821,844,860
27,19,54,166,277,462,592,713,775,822,844,860
28,19,56,166,277,461,592,712,774,819,843,860
29,21,55,166,276,462,592,712,774,820,843,860
30,19,54,166,276,461,591,712,775,822,843,861
31,19,55,165,275,462,589,713,774,822,843,861
32,20,55,165,276,462,593,712,774,821,843,862
33,20,54,166,276,462,591,713,774,821,845,860
34,19,56,165,277,462,592,712,775,822,842,861
35,19,55,166,277,462,592,712,773,821,844,861
36,19,56,166,280,462,592,713,773,822,843,859
37,19,56,165,277,462,591,2,774,823,843,860
38,19,56,166,279,459,592,714,775,821,843,862
39,19,54,165,276,462,591,711,774,822,842,862
40,19,56,166,276,462,592,713,775,821,843,861
41,20,55,166,277,461,591,713,774,821,840,861
42,19,55,166,277,462,592,712,772,821,844,860
43,20,56,165,277,461,591,713,775,825,843,861
44,19,55,165,276,462,592,712,774,821,843,860
45,19,56,165,276,462,592,714,775,822,843,860
46,19,55,165,275,463,592,713,774,821,842,861
47,19,54,166,276,461,592,713,774,821,843,861
48,19,57,165,277,462,590,713,773,821,843,860
49,19,56,165,277,462,592,714,774,821,842,860
50,19,59,166,276,461,592,712,774,822,843,861
51,19,56,166,277,462,592,712,775,821,843,860
52,19,55,165,279,462,592,712,775,821,843,860
53,19,55,165,281,461,592,713,775,822,843,860
54,19,55,165,276,461,592,712,774,821,843,860
55,19,55,166,276,462,592,712,774,823,843,861
56,19,55,164,276,462,594,712,774,822,843,861
57,20,55,165,276,462,593,713,775,822,843,861
58,19,57,166,276,462,593,712,772,822,843,860
59,19,57,165,276,462,592,713,775,821,843,860
60,19,55,165,277,462,592,712,775,822,843,860
61,18,55,165,277,462,592,712,775,822,843,860
62,19,54,166,277,462,592,713,775,823,843,861
63,19,55,167,277,462,593,715,774,823,843,861
64,19,55,165,277,462,593,713,777,823,843,862
65,19,54,166,276,463,592,712,774,822,844,860
66,19,56,165,276,463,592,712,775,822,844,860
67,19,55,165,278,463,592,712,773,821,843,860
68,19,56,165,277,462,593,713,774,821,843,861
69,20,56,166,277,465,592,713,774,822,843,861
70,19,56,166,276,462,592,712,773,822,843,861
71,19,54,165,277,462,591,712,775,820,843,860
72,19,56,166,276,463,591,712,771,821,843,861
73,22,55,166,276,462,592,713,773,822,842,860
74,19,55,165,276,462,592,712,773,822,844,861
75,19,56,165,277,462,591,712,773,821,843,861
76,19,55,166,277,462,592,712,774,821,843,861
77,19,56,165,277,463,592,713,774,821,843,861
78,19,55,166,276,462,592,713,774,821,843,861
79,19,54,165,277,462,592,713,774,819,842,861
80,19,57,166,276,463,594,712,776,821,842,865
81,19,56,165,279,461,592,713,775,821,844,860
82,19,59,166,277,462,592,711,774,822,843,860
83,19,56,166,276,462,592,712,774,822,843,861
84,19,55,164,276,462,592,713,774,822,843,860
85,19,55,165,277,461,592,713,775,822,845,860
86,19,55,165,276,462,592,713,775,821,843,861
87,17,55,166,277,462,592,712,774,821,842,861
88,19,55,165,276,462,592,713,774,820,842,860
89,20,55,165,279,461,592,713,774,822,843,858
90,19,57,166,276,462,593,716,775,822,842,860
91,19,57,166,277,462,593,712,773,822,843,861
92,19,55,165,277,462,593,712,775,823,843,859
93,19,57,166,277,462,592,713,776,823,839,860
94,19,55,165,277,462,592,713,775,822,843,861
95,19,54,165,277,462,592,713,775,823,844,860
96,17,55,164,278,462,593,710,775,822,842,860
97,20,55,166,277,462,593,712,774,821,843,861
98,18,56,165,277,462,592,715,775,822,844,859
99,19,55,165,277,462,592,713,776,822,844,860
